date,stp_id,farm_id,tons_delivered
2025-01-09,STP_KCH,F_1224,0.002
2025-01-10,STP_KCH,F_1224,0.002
2025-01-11,STP_KCH,F_1224,0.002
2025-01-11,STP_KKD,F_1181,0.002
2025-01-12,STP_KCH,F_1224,0.003
2025-01-12,STP_KKD,F_1092,0.002
2025-01-12,STP_TVM,F_1137,0.002
2025-01-12,STP_KKD,F_1181,0.002
2025-01-13,STP_KCH,F_1224,0.003
2025-01-13,STP_KKD,F_1092,0.002
2025-01-13,STP_TVM,F_1137,0.002
2025-01-13,STP_KKD,F_1181,0.002
2025-01-14,STP_KCH,F_1224,0.004
2025-01-14,STP_TVM,F_1046,0.003
2025-01-14,STP_KKD,F_1092,0.002
2025-01-14,STP_TVM,F_1137,0.002
2025-01-14,STP_KKD,F_1135,0.003
2025-01-14,STP_KCH,F_1183,0.002
2025-01-14,STP_GVR,F_1227,0.002
2025-01-14,STP_KKD,F_1090,0.003
2025-01-14,STP_KKD,F_1181,0.003
2025-01-15,STP_TVM,F_1046,0.003
2025-01-15,STP_TVM,F_1137,0.003
2025-01-15,STP_KCH,F_1005,0.002
2025-01-15,STP_KKD,F_1135,0.004
2025-01-15,STP_KCH,F_1183,0.002
2025-01-15,STP_GVR,F_1227,0.003
2025-01-15,STP_KKD,F_1090,0.004
2025-01-15,STP_KKD,F_1181,0.003
2025-01-16,STP_TVM,F_1046,0.004
2025-01-16,STP_TVM,F_1137,0.003
2025-01-16,STP_KCH,F_1005,0.002
2025-01-16,STP_KKD,F_1135,0.004
2025-01-16,STP_KCH,F_1183,0.003
2025-01-16,STP_KKD,F_1186,0.002
2025-01-16,STP_GVR,F_1227,0.003
2025-01-16,STP_KKD,F_1090,0.004
2025-01-16,STP_KKD,F_1181,0.004
2025-01-17,STP_TVM,F_1137,0.004
2025-01-17,STP_KCH,F_1005,0.002
2025-01-17,STP_KKD,F_1135,0.005
2025-01-17,STP_KCH,F_1183,0.003
2025-01-17,STP_GVR,F_1227,0.004
2025-01-17,STP_KKD,F_1181,0.004
2025-01-18,STP_GVR,F_1233,0.002
2025-01-18,STP_TVM,F_1137,0.004
2025-01-18,STP_KCH,F_1005,0.003
2025-01-18,STP_KKD,F_1135,0.006
2025-01-18,STP_KCH,F_1183,0.004
2025-01-18,STP_GVR,F_1227,0.004
